date,close,open,high,low,volume_m,price_range,month,quarter
2024-03-01,180.3800048828125,176.75,181.6999969482422,171.47000122070312,702.06,10.23,3,1
2024-04-01,175.0,180.7899932861328,189.77000427246094,166.32000732421875,917.14,23.45,4,2
2024-05-01,176.44000244140625,181.63999938964844,191.6999969482422,173.8699951171875,892.27,17.83,5,2
2024-06-01,193.25,177.6999969482422,199.83999633789062,175.9199981689453,810.56,23.92,6,2
2024-07-01,186.97999572753906,193.49000549316406,201.1999969482422,176.8000030517578,868.06,24.4,7,3
2024-08-01,178.5,189.2899932861328,190.60000610351562,151.61000061035156,971.02,38.99,8,3
2024-09-01,186.3300018310547,177.5500030517578,195.3699951171875,171.16000366210938,764.95,24.21,9,3
2024-10-01,186.39999389648438,184.89999389648438,195.61000061035156,180.25,733.88,15.36,10,4
2024-11-01,207.88999938964844,199.0,215.89999389648438,194.30999755859375,905.84,21.59,11,4
2024-12-01,219.38999938964844,209.9600067138672,233.0,209.50999450683594,760.89,23.49,12,4
2025-01-01,237.67999267578125,222.02999877929688,241.77000427246094,216.1999969482422,652.58,25.57,1,1
2025-02-01,212.27999877929688,234.05999755859375,242.52000427246094,204.16000366210938,783.61,38.36,2,1
2025-03-01,190.25999450683594,213.35000610351562,214.00999450683594,184.39999389648438,966.72,29.61,3,1
2025-04-01,184.4199981689453,187.86000061035156,198.33999633789062,161.3800048828125,1313.09,36.96,4,2
2025-05-01,205.00999450683594,190.6300048828125,214.83999633789062,183.85000610351562,937.26,30.99,5,2
2025-06-01,219.38999938964844,204.97999572753906,223.82000732421875,202.67999267578125,870.69,21.14,6,2
2025-07-01,234.11000061035156,219.5,236.52999877929688,217.92999267578125,856.02,18.6,7,3
2025-08-01,229.0,217.2100067138672,234.0800018310547,211.4199981689453,877.66,22.66,8,3
2025-09-01,219.57000732421875,223.52000427246094,238.85000610351562,216.47000122070312,965.1,22.38,9,3
2025-10-01,244.22000122070312,217.36000061035156,250.5,211.02999877929688,1196.88,39.47,10,4
2025-11-01,233.22000122070312,255.36000061035156,258.6000061035156,215.17999267578125,902.27,43.42,11,4
2025-12-01,230.82000732421875,233.22000122070312,238.97000122070312,220.99000549316406,787.96,17.98,12,4
2026-01-01,239.3000030517578,231.33999633789062,248.94000244140625,224.6999969482422,842.06,24.24,1,1
2026-02-01,210.0,238.30999755859375,246.35000610351562,196.0,1320.15,50.35,2,1
