date,close,open,high,low,volume_m,price_range,month,quarter
2024-03-01,414.360107421875,405.0529481190555,424.3074348650001,392.3676763323932,426.45,31.94,3,1
2024-04-01,383.4446105957031,417.5412964564824,422.8793472311419,382.1642742993836,441.08,40.72,4,2
2024-05-01,408.8546142578125,386.67502282807044,427.0454102388538,384.40980323220583,413.78,42.64,5,2
2024-06-01,440.9875793457031,409.986717311745,450.084583280897,403.4649109350044,341.72,46.62,6,2
2024-07-01,412.7691345214844,442.67479073537083,462.10212466124665,406.7110288792971,440.45,55.39,7,3
2024-08-01,411.5752868652344,415.17658914324284,421.7575932023893,380.4362756153244,451.92,41.32,8,3
2024-09-01,425.3249206542969,413.0781877543154,436.7413992990804,396.16599545037946,376.9,40.58,9,3
2024-10-01,401.65185546875,423.4963450073733,433.4301365266378,401.60241546152275,440.75,31.83,10,4
2024-11-01,418.5639953613281,404.2810827110615,424.36612226488506,400.88085318529187,442.31,23.49,11,4
2024-12-01,417.46063232421875,417.52996874613024,451.7884782201711,416.62868593663666,439.9,35.16,12,4
2025-01-01,411.08233642578125,421.45200006357817,444.0830267865293,406.78393174897894,462.5,37.3,1,1
2025-02-01,393.18548583984375,407.65548843170876,415.2915921387474,382.8653615451383,432.45,32.43,2,1
2025-03-01,372.53802490234375,395.79001044885985,399.0946977665152,364.44991951956155,491.79,34.64,3,1
2025-04-01,392.2570495605469,371.8036168416161,393.6464071015826,342.17049063471666,563.14,51.48,4,2
2025-05-01,456.8623962402344,427.8346233771742,459.00598925517755,421.6718123877878,476.94,37.33,5,2
2025-06-01,494.5372009277344,454.49979214706946,497.86785899517616,454.2512360277279,401.26,43.62,6,2
2025-07-01,530.418701171875,493.6025739799148,552.2419382207228,485.87746155113956,396.88,66.36,7,3
2025-08-01,503.7635803222656,531.9100715897364,535.14130099659,495.6308317432407,454.89,39.51,8,3
2025-09-01,515.8051147460938,498.3974907281952,517.1494999099087,490.3310277893008,424.03,26.82,9,3
2025-10-01,515.6656494140625,512.6681046624125,551.4269126367195,503.90455926643244,468.45,47.52,10,4
2025-11-01,489.9725341796875,517.6573987123703,522.7860962249423,462.96484638723985,479.48,59.82,11,4
2025-12-01,482.5186767578125,487.32770777292063,492.3761825072599,469.8076985272525,496.56,22.57,12,4
2026-01-01,429.31011962890625,483.286925111249,488.5848303422302,420.06121048648595,684.06,68.52,1,1
2026-02-01,384.4700012207031,430.239990234375,430.739990234375,383.1000061035156,636.6,47.64,2,1
