date,close,open,high,low,volume_m,price_range,month,quarter
2021-02-22,53.37799835205078,53.499000549316406,54.17900085449219,53.07899856567383,30.79,1.1,2,1
2021-02-23,54.6150016784668,52.5,54.854000091552734,51.827999114990234,41.36,3.03,2,1
2021-02-24,55.340999603271484,53.97999954223633,55.685001373291016,53.90700149536133,32.45,1.78,2,1
2021-02-25,54.66999816894531,55.027000427246094,55.64799880981445,53.57500076293945,42.53,2.07,2,1
2021-02-26,53.8849983215332,54.6510009765625,55.308998107910156,53.79999923706055,37.56,1.51,2,1
2021-03-01,55.06399917602539,54.55699920654297,55.2140007019043,54.20000076293945,30.41,1.01,3,1
2021-03-02,54.78200149536133,55.33399963378906,55.69900131225586,54.60200119018555,30.42,1.1,3,1
2021-03-03,52.06999969482422,54.59299850463867,54.80099868774414,51.78099822998047,53.62,3.02,3,1
2021-03-04,51.12900161743164,52.150001525878906,53.150001525878906,50.768001556396484,50.35,2.38,3,1
2021-03-05,51.638999938964844,51.198001861572266,51.7760009765625,49.87900161743164,50.7,1.9,3,1
2021-03-08,49.33300018310547,51.44599914550781,51.88399887084961,49.28499984741211,39.82,2.6,3,1
2021-03-09,50.64400100708008,50.73099899291992,51.31100082397461,50.38199996948242,34.7,0.93,3,1
2021-03-10,50.45399856567383,51.349998474121094,51.89699935913086,50.42499923706055,37.72,1.47,3,1
2021-03-11,52.305999755859375,51.220001220703125,53.02399826049805,51.07099914550781,47.14,1.95,3,1
2021-03-12,51.801998138427734,51.25,52.6510009765625,50.659000396728516,39.82,1.99,3,1
2021-03-15,52.025001525878906,51.63199996948242,52.073001861572266,50.803001403808594,34.84,1.27,3,1
2021-03-16,52.40299987792969,52.446998596191406,53.34199905395508,52.32099914550781,32.39,1.02,3,1
2021-03-17,52.444000244140625,52.20000076293945,52.83700180053711,51.43000030517578,28.17,1.41,3,1
2021-03-18,50.479000091552734,51.63999938964844,51.790000915527344,50.3849983215332,40.94,1.41,3,1
2021-03-19,51.21799850463867,50.49599838256836,51.319000244140625,50.16299819946289,43.86,1.16,3,1
2021-03-22,52.31100082397461,50.91299819946289,52.930999755859375,50.91299819946289,33.61,2.02,3,1
2021-03-23,53.50899887084961,52.98699951171875,54.3120002746582,52.939998626708984,55.84,1.37,3,1
2021-03-24,52.08100128173828,53.37799835205078,53.44200134277344,52.0,41.02,1.44,3,1
2021-03-25,50.2859992980957,51.69900131225586,51.85300064086914,49.70000076293945,49.27,2.15,3,1
2021-03-26,50.80500030517578,50.28200149536133,50.87200164794922,49.667999267578125,34.68,1.2,3,1
2021-03-29,51.39500045776367,50.566001892089844,51.79999923706055,50.439998626708984,33.3,1.36,3,1
2021-03-30,51.3390007019043,51.05099868774414,51.441001892089844,50.691001892089844,24.18,0.75,3,1
2021-03-31,52.16600036621094,51.56700134277344,52.8129997253418,51.54399871826172,35.03,1.27,3,1
2021-04-01,53.94200134277344,52.99300003051758,54.04999923706055,52.702999114990234,39.39,1.35,4,2
2021-04-05,54.06700134277344,54.000999450683594,54.28499984741211,52.92300033569336,33.56,1.36,4,2
2021-04-06,54.452999114990234,54.48099899291992,55.41699981689453,54.33000183105469,34.74,1.09,4,2
2021-04-07,54.69900131225586,54.349998474121094,54.9640007019043,54.14500045776367,21.51,0.82,4,2
2021-04-08,55.45800018310547,55.112998962402344,55.689998626708984,54.75699996948242,43.1,0.93,4,2
2021-04-09,55.53099822998047,55.26900100708008,55.689998626708984,54.71099853515625,28.94,0.98,4,2
